park,parkLabel,country,countryLabel,area,inception,highestPoint,highestPointLabel,elevation
http://www.wikidata.org/entity/Q484112,Тадохэхэсан,http://www.wikidata.org/entity/Q884,Республика Корея,23212,1981-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q457882,Glass House Mountains National Park,http://www.wikidata.org/entity/Q408,Австралия,30.1844165039062,2014-01-01T00:00:00Z,,,140
http://www.wikidata.org/entity/Q463141,Доньяна,http://www.wikidata.org/entity/Q29,Испания,54252,1969-10-16T00:00:00Z,,,
http://www.wikidata.org/entity/Q423134,Newry Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,464,1938-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q472929,Хасселл (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,11.3818493652344,1972-01-01T00:00:00Z,,,170
http://www.wikidata.org/entity/Q400200,Аукштайтский национальный парк,http://www.wikidata.org/entity/Q37,Литва,409.75,1974-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q422935,Nuga Nuga National Park,http://www.wikidata.org/entity/Q408,Австралия,29.360244140625,1994-01-01T00:00:00Z,,,331
http://www.wikidata.org/entity/Q464942,Гарахонай,http://www.wikidata.org/entity/Q29,Испания,39.5,1981-03-25T00:00:00Z,http://www.wikidata.org/entity/Q27102537,Alto de Garajonay,
http://www.wikidata.org/entity/Q477399,Michaelmas and Upolu Cays National Park,http://www.wikidata.org/entity/Q408,Австралия,0.020849404335022,2001-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q426073,Ikara-Flinders Ranges National Park,http://www.wikidata.org/entity/Q408,Австралия,950,1945-01-01T00:00:00Z,,,463
http://www.wikidata.org/entity/Q426073,Ikara-Flinders Ranges National Park,http://www.wikidata.org/entity/Q408,Австралия,950,2017-01-01T00:00:00Z,,,463
http://www.wikidata.org/entity/Q441890,Литл-Дезерт,http://www.wikidata.org/entity/Q408,Австралия,132647,1973-01-01T00:00:00Z,,,117
http://www.wikidata.org/entity/Q441861,Whitsunday Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,170,2000-01-01T00:00:00Z,,,370
http://www.wikidata.org/entity/Q464004,Национальный парк Грейт-Смоки-Маунтинс,http://www.wikidata.org/entity/Q30,США,2114.1866,1934-06-15T00:00:00Z,http://www.wikidata.org/entity/Q685166,Клингманс-Доум,
http://www.wikidata.org/entity/Q23960,Grey Peaks National Park,http://www.wikidata.org/entity/Q408,Австралия,33.4796508789062,2015-01-01T00:00:00Z,,,160
http://www.wikidata.org/entity/Q3627,Чиллаго-Мунгана Кейвс,http://www.wikidata.org/entity/Q408,Австралия,34.8290991210937,2008-01-01T00:00:00Z,,,424
http://www.wikidata.org/entity/Q119528,Jardine River National Park,http://www.wikidata.org/entity/Q408,Австралия,2345.883125,2017-01-01T00:00:00Z,,,64
http://www.wikidata.org/entity/Q3627,Чиллаго-Мунгана Кейвс,http://www.wikidata.org/entity/Q408,Австралия,34.8290991210937,1995-01-01T00:00:00Z,,,424
http://www.wikidata.org/entity/Q115591,Стерлинг-Рейндж,http://www.wikidata.org/entity/Q408,Австралия,1156.62,1994-01-01T00:00:00Z,,,312
http://www.wikidata.org/entity/Q48567,Пики Европы (национальный парк),http://www.wikidata.org/entity/Q29,Испания,66104.90139,1918-07-24T00:00:00Z,,,
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,0.00565802901983261,1957-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,http://www.wikidata.org/entity/Q408,Австралия,153.240771484375,2016-01-01T00:00:00Z,,,147
http://www.wikidata.org/entity/Q48642,Fort Lytton National Park,http://www.wikidata.org/entity/Q408,Австралия,0.128492441177368,1990-01-01T00:00:00Z,,,4
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,156,1991-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q119528,Jardine River National Park,http://www.wikidata.org/entity/Q408,Австралия,2370,1994-01-01T00:00:00Z,,,64
http://www.wikidata.org/entity/Q4111,Цзючжайгоу,http://www.wikidata.org/entity/Q148,Китай,72000,1978-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,0.00565802901983261,1979-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q24281,Halifax Bay Wetlands National Park,http://www.wikidata.org/entity/Q408,Австралия,18.0720080566406,1994-01-01T00:00:00Z,,,4
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,156,2000-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q119150,Бьёрнландет,http://www.wikidata.org/entity/Q34,Швеция,35.41,1991-02-07T00:00:00Z,,,
http://www.wikidata.org/entity/Q3627,Чиллаго-Мунгана Кейвс,http://www.wikidata.org/entity/Q408,Австралия,3.575,2008-01-01T00:00:00Z,,,424
http://www.wikidata.org/entity/Q48153,Национальный парк имени Александра Гумбольдта,http://www.wikidata.org/entity/Q241,Куба,7068,2001-02-02T00:00:00Z,,,
http://www.wikidata.org/entity/Q48153,Национальный парк имени Александра Гумбольдта,http://www.wikidata.org/entity/Q241,Куба,71140,2001-02-02T00:00:00Z,,,
http://www.wikidata.org/entity/Q119150,Бьёрнландет,http://www.wikidata.org/entity/Q34,Швеция,2333.25,1991-02-07T00:00:00Z,,,
http://www.wikidata.org/entity/Q119150,Бьёрнландет,http://www.wikidata.org/entity/Q34,Швеция,2371.19,1991-02-07T00:00:00Z,,,
http://www.wikidata.org/entity/Q3627,Чиллаго-Мунгана Кейвс,http://www.wikidata.org/entity/Q408,Австралия,3.575,1995-01-01T00:00:00Z,,,424
http://www.wikidata.org/entity/Q48608,Дарьен,http://www.wikidata.org/entity/Q804,Панама,579000,1980-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q48608,Дарьен,http://www.wikidata.org/entity/Q804,Панама,5970,1980-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q122412,Blackwood National Park,http://www.wikidata.org/entity/Q408,Австралия,1648,1994-01-01T00:00:00Z,,,264
http://www.wikidata.org/entity/Q45933,Hann Tableland National Park,http://www.wikidata.org/entity/Q408,Австралия,107.978583984375,2004-01-01T00:00:00Z,,,871
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,156,1957-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q45933,Hann Tableland National Park,http://www.wikidata.org/entity/Q408,Австралия,1082,1989-01-01T00:00:00Z,,,871
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,http://www.wikidata.org/entity/Q408,Австралия,153.240771484375,1879-01-01T00:00:00Z,,,147
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,http://www.wikidata.org/entity/Q408,Австралия,397.6928125,1932-01-01T00:00:00Z,,,18
http://www.wikidata.org/entity/Q80344,Олимп,http://www.wikidata.org/entity/Q41,Греция,19139.59,1938-01-01T00:00:00Z,http://www.wikidata.org/entity/Q545768,Митикас,2917.727
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,http://www.wikidata.org/entity/Q408,Австралия,404,1932-01-01T00:00:00Z,,,18
http://www.wikidata.org/entity/Q82371,Semenic-Cheile Carașului National Park,http://www.wikidata.org/entity/Q218,Румыния,36089.53581,1990-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,1.07619567871094,1991-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,214.877578125,1991-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,156,1979-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q120414,Изало,http://www.wikidata.org/entity/Q1019,Мадагаскар,8154,1999-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q119528,Jardine River National Park,http://www.wikidata.org/entity/Q408,Австралия,2370,2017-01-01T00:00:00Z,,,64
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,1.07619567871094,2000-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q82371,Semenic-Cheile Carașului National Park,http://www.wikidata.org/entity/Q218,Румыния,36089.53581,2000-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,214.877578125,2000-01-01T00:00:00Z,,,166
http://www.wikidata.org/entity/Q113523,Королевский национальный парк,http://www.wikidata.org/entity/Q408,Австралия,0.15,2016-01-01T00:00:00Z,,,147
http://www.wikidata.org/entity/Q48642,Fort Lytton National Park,http://www.wikidata.org/entity/Q408,Австралия,0.128492441177368,1996-01-01T00:00:00Z,,,4
http://www.wikidata.org/entity/Q24281,Halifax Bay Wetlands National Park,http://www.wikidata.org/entity/Q408,Австралия,1798,2010-01-01T00:00:00Z,,,4
http://www.wikidata.org/entity/Q68472,Грейт-Отуэй,http://www.wikidata.org/entity/Q408,Австралия,110555,2005-12-11T00:00:00Z,,,
http://www.wikidata.org/entity/Q23960,Grey Peaks National Park,http://www.wikidata.org/entity/Q408,Австралия,1083,1971-01-01T00:00:00Z,,,160
http://www.wikidata.org/entity/Q351,Йеллоустонский национальный парк,http://www.wikidata.org/entity/Q30,США,898349,1872-03-01T00:00:00Z,http://www.wikidata.org/entity/Q1276808,Eagle Peak,2470
http://www.wikidata.org/entity/Q79753,Сакликент,http://www.wikidata.org/entity/Q43,Турция,12390,1996-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q48642,Fort Lytton National Park,http://www.wikidata.org/entity/Q408,Австралия,126,1990-01-01T00:00:00Z,,,4
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,http://www.wikidata.org/entity/Q408,Австралия,397.6928125,2000-01-01T00:00:00Z,,,18
http://www.wikidata.org/entity/Q23960,Grey Peaks National Park,http://www.wikidata.org/entity/Q408,Австралия,1083,2015-01-01T00:00:00Z,,,160
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,http://www.wikidata.org/entity/Q408,Австралия,404,2000-01-01T00:00:00Z,,,18
http://www.wikidata.org/entity/Q113952,Gorongosa National Park,http://www.wikidata.org/entity/Q1029,Мозамбик,4000,1960-07-23T00:00:00Z,,,
http://www.wikidata.org/entity/Q60167,Лувин-Натуралисте,http://www.wikidata.org/entity/Q408,Австралия,1.07619567871094,1957-01-01T00:00:00Z,,,166
